spieltag	sp_nr	tore1	tore2	debug_user	debug_time
13	3	5	0	BOT	2022-11-06 19:30:12
13	4	3	1	BOT	2022-11-06 19:30:12
13	5	3	0	BOT	2022-11-06 19:30:12
13	6	2	3	BOT	2022-11-06 19:30:13
13	7	0	3	BOT	2022-11-06 19:30:13
13	8	1	2	BOT	2022-11-06 19:30:13
13	9	1	3	BOT	2022-11-06 19:30:13
14	1	1	0	BOT	2022-11-09 22:30:10
14	2	2	1	BOT	2022-11-09 22:30:10
14	3	2	1	BOT	2022-11-09 22:30:10
14	4	6	1	BOT	2022-11-09 22:30:10
14	5	1	2	BOT	2022-11-09 22:30:10
14	6	2	0	BOT	2022-11-09 22:30:10
14	7	4	2	BOT	2022-11-09 22:30:10
14	8	2	2	BOT	2022-11-09 22:30:10
14	9	3	1	BOT	2022-11-09 22:30:10
15	1	0	2	BOT	2023-01-19 01:59:04
15	2	1	2	BOT	2023-01-19 01:59:04
15	3	4	1	BOT	2023-01-19 01:59:04
15	4	2	0	BOT	2023-01-19 01:59:04
15	5	4	2	BOT	2023-01-19 01:59:04
15	6	2	0	BOT	2023-01-19 01:59:04
15	7	1	1	BOT	2023-01-19 01:59:04
15	8	0	1	BOT	2023-01-19 01:59:04
15	9	1	2	BOT	2023-01-19 01:59:04
16	1	3	1	BOT	2023-01-22 19:30:12
16	2	1	1	BOT	2023-01-22 19:30:12
16	3	2	3	BOT	2023-01-22 19:30:12
16	4	7	1	BOT	2023-01-22 19:30:12
16	5	4	3	BOT	2023-01-22 19:30:12
16	6	6	0	BOT	2023-01-22 19:30:12
16	7	3	0	BOT	2023-01-22 19:30:12
16	8	3	1	BOT	2023-01-22 19:30:13
16	9	1	1	BOT	2023-01-22 19:30:13
17	1	1	6	BOT	2023-01-25 22:30:15
17	2	1	2	BOT	2023-01-25 22:30:15
17	3	1	1	BOT	2023-01-25 22:30:15
17	4	2	0	BOT	2023-01-25 22:30:15
17	5	1	1	BOT	2023-01-25 22:30:15
17	6	0	5	BOT	2023-01-25 22:30:15
17	7	1	2	BOT	2023-01-25 22:30:15
17	8	1	0	BOT	2023-01-25 22:30:15
17	9	2	2	BOT	2023-01-25 22:30:16
18	1	1	1	BOT	2023-01-29 19:30:14
18	2	0	2	BOT	2023-01-29 19:30:14
18	3	1	4	BOT	2023-01-29 19:30:14
18	4	2	1	BOT	2023-01-29 19:30:14
18	5	5	2	BOT	2023-01-29 19:30:14
18	6	3	1	BOT	2023-01-29 19:30:14
18	7	0	2	BOT	2023-01-29 19:30:14
18	8	2	1	BOT	2023-01-29 19:30:14
18	9	0	0	BOT	2023-01-29 19:30:14
19	1	5	1	BOT	2023-02-05 19:30:18
19	2	0	2	BOT	2023-02-05 19:30:18
19	3	1	0	BOT	2023-02-05 19:30:18
19	4	3	0	BOT	2023-02-05 19:30:18
19	5	5	2	BOT	2023-02-05 19:30:18
19	6	0	0	BOT	2023-02-05 19:30:18
19	7	0	0	BOT	2023-02-05 19:30:18
19	8	2	1	BOT	2023-02-05 19:30:18
19	9	2	4	BOT	2023-02-05 19:30:18
20	1	4	1	BOT	2023-02-12 19:30:20
20	2	1	3	BOT	2023-02-12 19:30:20
20	3	2	1	BOT	2023-02-12 19:30:20
20	4	0	2	BOT	2023-02-12 19:30:20
20	5	0	0	BOT	2023-02-12 19:30:20
20	6	3	1	BOT	2023-02-12 19:30:20
20	7	1	2	BOT	2023-02-12 19:30:20
20	8	3	0	BOT	2023-02-12 19:30:20
